analysis,size_factor,roi_name,max,min
,0.54,V1,-1.09443086127352,-3.92799145652046
,0.54,V2,-1.07145709093157,-3.86851571191344
,0.54,V3,-1.7617168982827,-6.94462702725342
,0.55,V1,-1.11245138982865,-3.99493140332083
,0.55,V2,-1.0929470042071,-3.86289202702788
,0.55,V3,-1.71112319647022,-6.97351615922731
,0.56,V1,-1.08051009424532,-4.12470383416144
,0.56,V2,-1.05950017001443,-3.87663588536388
,0.56,V3,-1.71410034916724,-7.21635729294788
,0.57,V1,-1.09517797122884,-3.90471952434573
,0.57,V2,-1.06606929545422,-3.89716729209309
,0.57,V3,-1.77736672623875,-6.95074614594319
,0.58,V1,-1.06853794349035,-4.00087644864481
,0.58,V2,-1.10100019259005,-3.90070633142711
,0.58,V3,-1.79445459275902,-7.14438336950376
,0.59,V1,-1.11852021875437,-4.04580381111503
,0.59,V2,-1.09052900148545,-3.94657961704824
,0.59,V3,-1.86208615214664,-7.04073460409086
,0.6,V1,-1.06939685095583,-3.98731228248792
,0.6,V2,-1.04919815980434,-3.9401761550162
,0.6,V3,-1.79832999001768,-7.05622667813776
,0.61,V1,-1.03036529930259,-4.04526291978314
,0.61,V2,-1.0901321662718,-3.93472072798484
,0.61,V3,-1.83775367910662,-6.94651700383914
,0.62,V1,-1.07667122736502,-4.06065433176052
,0.62,V2,-1.0849026566277,-3.84648252103445
,0.62,V3,-1.76929861074033,-6.95360540605503
,0.63,V1,-1.0132465997698,-3.95902613807049
,0.63,V2,-1.07042533030597,-3.74316111736161
,0.63,V3,-1.83567253584532,-7.13705687143316
,0.64,V1,-1.00438363627735,-4.17555951838722
,0.64,V2,-1.06285489121523,-3.70480328145955
,0.64,V3,-1.80782016248129,-7.00061292800803
,0.65,V1,-0.997105238764164,-3.93615100886856
,0.65,V2,-1.04266171471533,-3.65007363096927
,0.65,V3,-1.80788650203228,-6.9954771681886
,0.66,V1,-0.976585234527457,-4.06593405356804
,0.66,V2,-1.04862692960652,-3.6296421216592
,0.66,V3,-1.79217007174155,-6.81148904147868
,0.67,V1,-0.969262545949578,-3.96713814284755
,0.67,V2,-1.06340284492759,-3.79504967946718
,0.67,V3,-1.77023733043457,-6.71985273609461
,0.68,V1,-0.957580096599308,-3.89589964405222
,0.68,V2,-1.04362875624409,-3.73924117279441
,0.68,V3,-1.75200072153903,-6.74594872706628
,0.69,V1,-0.866979259250923,-3.92812509842404
,0.69,V2,-1.02649089830829,-3.62702906311953
,0.69,V3,-1.71816136508187,-6.61175944581479
,0.7,V1,-0.853081801498217,-3.76992942850032
,0.7,V2,-1.01140163257451,-3.816334356258
,0.7,V3,-1.70342000104893,-6.77425587528383
,0.71,V1,-0.903921835897767,-3.86830293611859
,0.71,V2,-0.985849431320903,-3.66723638552898
,0.71,V3,-1.65298032110487,-6.47735559443868
,0.72,V1,-0.865601821680185,-3.79535957346816
,0.72,V2,-0.914041812907661,-3.7135496657037
,0.72,V3,-1.67667705823671,-6.47763925575772
,0.73,V1,-0.833722752592662,-3.65288413203903
,0.73,V2,-0.836853855239491,-3.65986926729647
,0.73,V3,-1.61101989905004,-6.32333614164115
,0.74,V1,-0.827157656260384,-3.66762946588603
,0.74,V2,-0.777100033532319,-3.73775723610546
,0.74,V3,-1.59744908506676,-6.26152548500795
,0.75,V1,-0.76657180806,-3.65553314757227
,0.75,V2,-0.705072562653718,-3.60437010563236
,0.75,V3,-1.46663588792057,-6.20506915549155
,0.76,V1,-0.795505891743838,-3.70223874554711
,0.76,V2,-0.667483342329776,-3.84585862719152
,0.76,V3,-1.46474584147503,-6.02314288354566
,0.77,V1,-0.758579042382252,-3.60221526662509
,0.77,V2,-0.613218930398206,-3.77732684910988
,0.77,V3,-1.39912805754787,-5.79704118226427
,0.78,V1,-0.727052368013127,-3.5181067856148
,0.78,V2,-0.585159378325632,-3.61149065637355
,0.78,V3,-1.3682081419829,-5.83630759620309
,0.79,V1,-0.680377914195802,-3.36270234710846
,0.79,V2,-0.4858200504443,-3.59464588323554
,0.79,V3,-1.35250247407265,-5.46238746011079
,0.8,V1,-0.645289073083142,-3.53543874665429
,0.8,V2,-0.439117142207918,-3.74474346122698
,0.8,V3,-1.22687307098427,-5.46761167908616
,0.81,V1,-0.669047521144811,-3.36611793840418
,0.81,V2,-0.355201479467802,-3.74391814729913
,0.81,V3,-1.18581882263552,-5.45254770834805
,0.82,V1,-0.577330994944335,-3.41148668452958
,0.82,V2,-0.319013137191965,-3.65572066952028
,0.82,V3,-1.07157191139044,-4.96174977362918
,0.83,V1,-0.569513722407525,-3.15920890269538
,0.83,V2,-0.240196203748084,-3.72613923313582
,0.83,V3,-1.01463721503038,-4.81500500459483
,0.84,V1,-0.545782059535249,-3.16402664578145
,0.84,V2,-0.200332660720696,-3.66645603507196
,0.84,V3,-0.951595815261856,-4.83573428808082
,0.85,V1,-0.544622359779042,-3.14146713404821
